gvkey,datadate,indfmt,tic,cusip,conm,caps,capx,capxv,ceq,ci,cibegni,citotal,cogs,cshfd,cstkcv,dlc,ebitda,fiao,fincf,fopox,exchg,cik,cshtr_c,mkvalt,prcc_f,prch_f,prcl_f,state
1257,12/31/2023,INDL,ALX,14752109,ALEXANDER'S INC,34.315,0,0,237.657,93.028,102.413,93.028,134.108,5.129,1,500,84.513,-0.104,-92.424,9.292,11,3499,3243205,1090.702,213.57,242.63,155.6,NJ
1257,12/31/2023,FS,ALX,14752109,ALEXANDER'S INC,34.315,,,237.657,,,,,,,500,,,,,11,3499,3243205,1090.702,213.57,242.63,155.6,NJ
1262,12/31/2023,INDL,AGMJF,15644107,ALGOMA CENTRAL CORP,0,119.249,119.249,778.309,75.39,82.87,75.39,539.089,43.072,0.755,60.794,140.581,-14.623,-105.757,4.899,19,,3380699,577.8175,14.95,17.34,14.14,ON
1263,3/31/2023,INDL,ASTL,15658107,ALGOMA STEEL GROUP INC,-21.4,333.5,333.5,1462.2,460.1,298.5,460.1,2293.8,147,9.254,11.9,385.7,-3.2,-569.6,-25.9,14,1860805,45462337,1134.0696,10.95,14.81,7.7,ON
1266,9/30/2023,INDL,ALCO,16230104,ALICO INC,20.045,16.733,16.733,244.991,1.658,1.658,1.835,45.84,7.602,1,2.82,-16.637,0.441,13.204,2.549,14,3545,8357947,189.9706,24.96,33.2,22.58,FL
1272,6/30/2023,INDL,PBAJ,71648P103,PETRO USA INC,121.677,0,0,-0.128,-0.024,-0.024,-0.024,0,200.031,0.0001,0.004,-0.024,0,0,0,19,745543,8588,,7.99,10,1,NY
1300,12/31/2023,INDL,HON,438516106,HONEYWELL INTERNATIONAL INC,9062,1039,1039,15856,5007,5672,4998,22044,668.2,1,4077,8035,28,-5763,-2017,14,773840,695442133,136688.978,209.71,217.22,174.88,NC
1327,9/30/2023,INDL,SWKS,83088M102,SKYWORKS SOLUTIONS INC,172.4,210.3,210.3,6082.7,982,982.8,982,2037.1,160.3,0.25,327.7,1822.6,0,-1479.2,246.1,14,4127,440559166,15725.105,98.59,123.69,76.16,CA
1352,12/31/2023,INDL,GYLD,04273H104,ARROW DOW JONES GLBL YLD ETF,,,,,,,,,,,,,,,,11,,919913,,13.35,13.827,11.5736,MD
1380,12/31/2023,INDL,HES,42809H107,HESS CORP,6495,4108,4108,8986,1735,1738,1379,4806,307.6,1,681,4888,-554,-627,538,11,4447,565240205,44279.8973,144.16,167.75,113.82,NY
1388,12/31/2023,INDL,AMR1,23771009,AMERICAN AIRLINES INC,17335,2542,2542,6577,879,1188,879,38739,,1,4917,6238,-287,-3162,104,0,4515,,,,,,TX
1393,3/31/2023,INDL,UHAL,23586100,U-HAUL HOLDING CO,453.643,2723.901,2723.901,6528.335,609.568,922.998,609.568,3928.194,196.078,,563.153,1936.497,1.804,59.795,89.609,11,4457,32429097,10319.5867,59.65,605.42,50,NV
1397,12/31/2023,INDL,ABLT,24591406,AMERICAN BILTRITE INC,20.846,3.574,3.574,24.993,-1.139,-2.641,-1.139,135.215,0.032,0.01,17.382,1.791,0,-2.169,1.979,19,4611,967,3.0403,95.01,175,84.25,MA
1410,10/31/2023,INDL,ABM,957100,ABM INDUSTRIES INC,558.9,52.6,52.6,1799.9,258.1,251.3,258.1,6993.4,66.3,0.01,67.1,531.4,-19.8,-186.3,-11.7,11,771497,106218484,2472.401,39.34,49.5796,37.61,NY
1414,12/31/2023,FS,PRI,74164M108,PRIMERICA INC,0,,,2065.967,,,,,,,0,,,,,11,1475922,35987547,7200.777,205.76,219.998,141.11,GA
1414,12/31/2023,INDL,PRI,74164M108,PRIMERICA INC,0,33.897,33.897,2065.967,488.003,576.601,488.003,2005.217,36.027,0.01,0,810.462,0,-479.621,-492.197,11,1475922,35987547,7200.777,205.76,219.998,141.11,GA
1417,6/30/2023,INDL,VBF,46132L107,INVESCO BOND FUND,,,,,,,,,,,,,,,,11,5094,7468928,,14.88,16.9597,13.83,GA
1440,12/31/2023,INDL,AEP,25537101,AMERICAN ELECTRIC POWER CO,9073.9,7506.5,7681.4,25246.7,2073.4,2212.6,2068.9,12208.7,520.206,6.5,5502.1,6773.6,-78.6,1077,,14,4904,776621645,42736.7457,81.22,98.32,69.38,OH
1447,12/31/2023,FS,AXP,25816109,AMERICAN EXPRESS CO,11372,,,28057,,,,,,,21545,,,,,11,4962,788941562,135446.82,187.34,188.3,140.91,NY
1447,12/31/2023,INDL,AXP,25816109,AMERICAN EXPRESS CO,11372,1565,1565,28057,8512,8374,8512,52586,736,0.2,21545,14778,15265,18379,6037,11,4962,788941562,135446.82,187.34,188.3,140.91,NY
1449,12/31/2023,INDL,AFL,1055102,AFLAC INC,2771,0,0,21985,5568,4659,5568,13247,598.745,0.1,24,4482,-177,-3723,-633,11,4977,602574244,47724.5175,82.5,84.64,60.2,GA
1449,12/31/2023,FS,AFL,1055102,AFLAC INC,2771,,,21985,,,,,,,24,,,,,11,4977,602574244,47724.5175,82.5,84.64,60.2,GA
1487,12/31/2023,INDL,AIG,26874784,AMERICAN INTERNATIONAL GROUP,75810,0,0,44866,9818,3878,8284,37429,725.233,2.5,2850,9253,6722,782,1379,11,5272,984892816,46668.91,67.75,68.03,45.66,NY
1487,12/31/2023,FS,AIG,26874784,AMERICAN INTERNATIONAL GROUP,75810,,,44866,,,,,,,8550,,,,,11,5272,984892816,46668.91,67.75,68.03,45.66,NY
1507,12/31/2023,INDL,HYEM,92189F353,VANECK EMG MKTS HIGH YLD BD,,,,,,,,,,,,,,,,17,,41759646,,18.51,19.11,17.367,NY
1545,12/31/2023,INDL,ARL,29174109,AMERICAN REALTY INVESTORS,61.638,18.462,18.462,615.202,5.251,5.251,3.968,38.083,16.152,0.01,23.299,25.776,-0.455,-139.02,4.233,11,1102238,1689450,281.2063,17.41,31.59,11.69,TX
1545,12/31/2023,FS,ARL,29174109,AMERICAN REALTY INVESTORS,61.638,,,615.202,,,,,,,23.299,,,,,11,1102238,1689450,281.2063,17.41,31.59,11.69,TX
1559,12/31/2023,INDL,AMS,29595105,AMERICAN SHARED HSPTL SERV,8.232,6.273,6.273,22.624,0.265,0.265,0.61,6.908,6.393,1.708,4.641,7.487,-0.009,1.91,1.295,12,744825,4069006,14.9902,2.3794,3.75,2.1606,CA
1562,4/30/2023,INDL,LGTY,29683109,LOGILITY SPPLY CHAIN SOL INC,182.722,3.922,3.922,139.334,10.421,10.421,10.421,46.316,33.992,0.1,0.411,13.894,0,-9.192,5.05,14,713425,29503303,407.6435,11.94,19.34,11.63,GA
1585,12/31/2023,INDL,AVD,30371108,AMERICAN VANGUARD CORP,110.81,11.878,11.878,370.01,13.738,7.519,13.738,378.427,28.533,0.1,6.081,46.573,0,66.737,7.599,11,5981,63831186,315.5191,10.97,23.67,8.41,CA
1598,12/31/2023,INDL,AME,31100100,AMETEK INC,1168.694,136.249,136.249,8730.191,1403.191,1313.188,1403.191,3874.849,231.509,0.01,1478.97,2045.095,-7.748,697.283,33.709,11,1037868,244208688,38078.0477,164.89,165.52,131.52,PA
1602,12/31/2023,INDL,AMGN,31162100,AMGEN INC,33069.946,1112,1112,6232,6659,6717,6659,4530,538,0.0001,1562,13154,-719,21048,3500,14,318154,614271119,154205.908,288.02,289.04,211.71,CA
1613,12/31/2023,INDL,AP,32037103,AMPCO-PITTSBURGH CORP,177.196,20.448,20.448,60.939,-42.943,-38.119,-44.505,347.781,19.617,1,13.217,23.675,0,21.688,37.232,11,6176,5807507,53.8602,2.73,4,2.145,PA
1618,4/30/2023,INDL,AXR,32159105,AMREP CORP,32.686,0.131,0.131,111,27.533,21.79,27.533,29.714,5.307,0.1,0,13.49,0,-1.986,7.552,11,6207,2743096,73.0445,13.9,16.72,10.26,PA
1618,4/30/2023,FS,AXR,32159105,AMREP CORP,32.686,,,111,,,,,,,,,,,,11,6207,2743096,73.0445,13.9,16.72,10.26,PA
1632,10/31/2023,INDL,ADI,32654105,ANALOG DEVICES INC,25313.914,1261.463,1261.463,35565.122,3324.429,3314.579,3324.429,3094.836,505.959,0.1667,1111.021,6283.994,-20.843,-4063.76,308.488,14,6281,836847440,78076.9005,157.33,200.1,137.79,MA
1659,12/31/2023,INDL,ANDE,34164103,ANDERSONS INC,387.21,150.443,150.443,1282.899,134.91,132.529,103.571,13879.643,34.382,0.004,92.989,382.509,-53.557,-263.993,100.834,14,821026,54691510,1944.5068,57.54,58.84,33.44,OH
1661,12/31/2023,INDL,NBR,G6359F137,NABORS INDUSTRIES LTD,3538.896,540.851,540.851,326.614,50.11,49.904,50.11,1790.38,9.159,0.05,635.044,888.706,-8.74,592.592,-71.024,11,1163739,58007134,766.9139,81.63,190.9,75.635,
1678,12/31/2023,INDL,APA,03743Q108,APA CORP,11126,2357,2357,2655,3208,3207,2856,2780,309,0.625,118,5074,-253,-1149,27,14,1841666,1233810291,10892.3069,35.88,46.98,30.67,TX
1686,2/28/2023,INDL,APOG,37598109,APOGEE ENTERPRISES INC,146.816,45.177,45.177,396.408,98.791,104.107,98.791,1067.823,22.416,0.333,11.806,163.388,-4.055,-91.023,24.8,14,6845,39840568,1016.9702,45.76,50.23,35.96,MN
1689,12/31/2023,INDL,AEP1,03799Y005,APPALACHIAN POWER,1834.5,1053,1064.9,5276.7,295.5,294.4,295.5,2617.8,,19.29,901.2,1102.9,7.3,329.8,,0,6879,,,,,,OH
1690,9/30/2023,INDL,AAPL,37833100,APPLE INC,73811.844,10959,10959,62146,96652,96995,96652,205637,15812.547,0,17382,122801,-581,-108488,8606,14,320193,14747984510,2662325.944,171.21,198.23,124.17,CA
1704,10/31/2023,INDL,AMAT,38222105,APPLIED MATERIALS INC,9131,1106,1106,16349,6841,6856,6841,13618,845,0.01,286,8191,0,-3032,530,14,6951,1469396461,110247.55,132.35,155.26,84.7,CA
1706,8/31/2023,INDL,EPAC,292765104,ENERPAC TOOL GROUP CORP,220.472,9.4,9.4,326.62,60.312,46.561,60.312,290.479,57.117,0.2,13.536,138.978,-3.944,-53.13,4.791,11,6955,80076237,1440.6856,26.2,28.97,16.09,WI
1718,6/30/2023,INDL,AOXY,00754B301,ADVANCED OXYGEN TECHNOLOGY,21.057,0,0,0.351,0.031,0.002,0.031,0.028,3.303,0.01,0.007,0.011,-0.012,-0.029,0.025,19,352991,83421,0.5631,0.171,0.678,0.151,VT
1722,12/31/2023,INDL,ADM,39483102,ARCHER-DANIELS-MIDLAND CO,0,1494,1494,24132,3485,3466,3505,85314,542,11.26,406,5164,-102,-4604,368,11,7084,751429955,37048.86,72.22,92.85,69.31,IL
1742,12/31/2023,INDL,PNW1,40555005,ARIZONA PUBLIC SERVICE CO,3321.696,1864.615,1917.733,7241.938,562.938,564.561,545.714,3062.102,,2.5,850.458,1633.889,128.745,412.14,,0,7286,,,,,,AZ
1743,12/31/2023,INDL,ARCB,03937C105,ARCBEST CORP,340.961,231.998,231.998,1242.363,192.654,195.433,192.654,4103.686,24.635,0.01,99.12,323.757,-14.046,-196.61,22.391,14,894405,84515601,2832.6284,120.21,125.48,68.23,AR
1745,12/31/2023,INDL,ETR1,29364D001,ENTERGY ARKANSAS,,1063.273,1083.86,3739.071,396.85,396.85,402.081,1624.49,,,394.257,1021.906,11.752,90.285,,0,7323,,,,,,AR
1773,12/31/2023,INDL,ARW,42735100,ARROW ELECTRONICS INC,553.34,83.285,83.285,5805.464,977.717,909.363,970.728,28958.102,57.035,1,1728.186,1673.996,56.569,-666.222,51.693,11,7536,126324291,6578.3948,122.25,147.42,104.83,CO
1783,11/30/2023,INDL,ARTW,43168103,ARTS WAY MFG INC,4.838,0.842,0.842,11.641,0.267,0.267,0.267,20.893,5.002,0.01,4.789,2.336,-0.026,0.508,0.164,14,7623,2964282,10.3268,2.06,3.11,1.82,IA
1790,12/31/2023,INDL,AB.,43420108,ASBESTOS CORP LTD,0,0.557,0.557,-18.726,1.458,1.44,1.458,1.919,2.837,11.74,0,3.214,0.142,0.242,0.018,9,,97193,4.2555,1.5,2.98,0.7,QC
1794,9/30/2023,INDL,ASH,44186104,ASHLAND INC,4,170,170,3097,244,178,244,1371,54,0.01,38,407,0,-371,-34,11,1674862,118488132,4165.68,81.68,114.36,79.42,DE
1820,1/31/2023,INDL,ALOT,04638F108,ASTRONOVA INC,61.131,0.229,0.229,84.367,2.171,2.661,2.171,90.455,7.374,0.05,18.275,10.076,-2.039,18.755,1.29,14,8146,1875516,97.1888,13.25,15.98,10.97,RI
1823,12/31/2023,INDL,ATRO,46433108,ASTRONICS CORP,129.544,7.643,7.643,249.518,-26.321,-26.421,-26.321,542.31,33.104,0.01,14.162,17.461,-6.762,25.435,32.428,14,8063,41234912,601.4749,17.42,22.44,9.92,NY
1828,12/31/2023,INDL,ACLLF,46789400,ATCO LTD  -CL I,14,1423,1423,4423,668,819,340,2515,113.378,,548,2226,-801,-123,1139,19,1261317,58381639,4357.0685,38.67,45.59,32.9,AB
1837,12/31/2023,INDL,SO7,84399X001,SOUTHERN CO GAS,10836,1561,1561,10803,600,615,600,3093,,0.01,426,1609,372,-154,,0,1004155,,,,,,GA
1864,1/31/2023,INDL,REX,761624105,REX AMERICAN RESOURCES CORP,0.578,15.578,15.578,447.982,37.937,37.937,27.697,782.293,17.638,0.01,5.18,43.751,-3.997,-17.009,-0.909,11,744187,33017809,569.0008,32.72,36.31,26.05,OH
1878,1/31/2023,INDL,ADSK,52769106,AUTODESK INC,3322.85,40,40,1145,762,823,762,372,218,0.01,85,1180,0,-1487,683,14,769397,423732719,46259.4,215.16,252.34,163.2,CA
1891,6/30/2023,INDL,ADP,53015103,AUTOMATIC DATA PROCESSING,2102.3,206.3,206.3,3509.1,3099.9,3412,3099.9,9404.1,415.7,0.1,202.1,5056.7,-12701.6,-15680.7,272.2,14,8670,438440667,90575.459,219.79,274.92,201.46,NJ
1913,12/31/2023,INDL,AVY,53611109,AVERY DENNISON CORP,854.5,265.3,265.3,2127.9,458.9,503,458.9,5789.7,81.1,1,667.6,1260.9,-1.6,-317.2,84.9,11,8818,126837394,16273.0714,202.16,203.695,158.93,OH
1919,6/30/2023,INDL,AVT,53807103,AVNET INC,1691.334,194.674,194.674,4751.669,842.695,770.828,842.695,23272.178,93.368,1,122.428,1303.451,-5.777,1054.756,90.923,14,8858,143666369,4616.3768,50.45,51,35.45,AZ
1926,2/28/2023,INDL,AZZ,2474104,AZZ INC,326.839,57.12,57.12,853.22,-30.223,-52.974,-30.223,971.169,24.978,1,6.403,263.548,32.452,1147.335,8.459,11,8947,35152576,1012.6728,40.65,50.84,30.21,TX
1932,12/31/2023,INDL,BTI,110448107,BRITISH AMER TOBACCO PLC,275.141,585.948,585.948,64812.218,-22371.749,-18073.948,-22544.986,18443.349,2229,0.32,5507.911,16309.736,-2995.978,-11864.174,40127.247,11,1303523,1024082792,,29.29,40.75,28.35,
1949,12/31/2023,FS,BRT,55645303,BRT APARTMENTS CORP,267.271,,,228.46,,,,,,,3.331,,,,,11,14846,12843131,325.9942,18.59,22.35,16.0107,NY
1949,12/31/2023,INDL,BRT,55645303,BRT APARTMENTS CORP,267.271,0,0,228.46,4.015,4.015,3.873,70.305,17.948,0.01,3.331,,2.212,-32.231,5.141,11,14846,12843131,325.9942,18.59,22.35,16.0107,NY
1968,12/31/2023,INDL,BMI,56525108,BADGER METER INC,59.185,12.003,12.003,516.482,96.935,92.598,96.935,404.317,29.456,1,0,140.886,0,-28.085,4.85,11,9092,38861715,4530.2964,154.37,170.86,103.925,WI
1979,12/31/2023,INDL,BCPC,57665200,BALCHEM CORP  -CL B,145.653,37.892,37.892,1053.984,124.388,108.543,124.388,589.304,32.448,0.0667,4.221,213.547,0,-153.321,11.087,14,9326,23424155,4797.9313,148.75,150.82,110.74,NJ
1988,12/31/2023,INDL,BALL,58498106,BALL CORP,0,1045,1045,3769,474,711,470,11359,317.022,1.92,1158,2112,33,-662,173,11,9389,468160465,18158.4888,57.52,62.14,42.81,CO
2002,12/31/2023,INDL,BPOP,733174700,POPULAR INC,4843.399,208.044,,5124.81,1170.739,541.342,1170.739,1322.392,71.792,0.01,183.327,1646.951,2365.451,1878.211,203.14,14,763901,131022732,5921.6788,82.07,82.74,49.34,PR
2002,12/31/2023,FS,BPOP,733174700,POPULAR INC,4843.399,,,5124.81,1170.739,,,,,,183.327,,,,,14,763901,131022732,5921.6788,82.07,82.74,49.34,PR
2005,12/31/2023,FS,BOH,62540109,BANK OF HAWAII CORP,636.422,,,1234.242,209.172,,,,,,0.49,,,,,11,46195,171772258,2880.5024,72.46,81.73,30.8301,HI
2005,12/31/2023,INDL,BOH,62540109,BANK OF HAWAII CORP,636.422,9.402,,1234.242,209.172,171.202,209.172,322.35,39.429,0.01,0.49,335.68,439.349,-113.839,36.228,11,46195,171772258,2880.5024,72.46,81.73,30.8301,HI
2019,12/31/2023,INDL,BK,64058100,BANK OF NEW YORK MELLON CORP,28908,1220,,36531,4361,3288,4359,16422,787.798,0.01,19886,9746,-1593,-3519,111,11,1390777,1250037754,39523.8552,52.05,52.315,39.65,NY
2019,12/31/2023,FS,BK,64058100,BANK OF NEW YORK MELLON CORP,28908,,,36531,4361,,,,,,19886,,,,,11,1390777,1250037754,39523.8552,52.05,52.315,39.65,NY
2049,12/31/2023,INDL,B,67806109,BARNES GROUP INC,537.948,55.739,55.739,1362.263,41.367,15.996,41.367,860.376,51.206,0.01,21.778,285.215,-5.755,666.562,15.091,11,9984,67323727,1653.9168,32.63,47.36,18.79,CT
2052,9/30/2023,INDL,BRN,68221100,BARNWELL INDUSTRIES,7.687,11.632,11.632,18.744,-0.001,-0.811,-0.151,15.295,9.97,0.5,0.071,2.916,-0.157,-0.786,-1.218,12,10048,8354993,26.3263,2.635,3.33,1.89,HI
2055,12/31/2023,INDL,GOLD,67901108,BARRICK GOLD CORP,1875,3086,3086,23341,1951,1953,1270,6201,1755,16.016,43,4623,-449,-1205,487,11,756894,4035192023,31758.2613,18.09,20.75,13.82,ON
2080,11/30/2023,INDL,BSET,70203104,BASSETT FURNITURE INDS,0.093,17.489,17.489,183.441,-3.069,-3.171,-3.069,181.524,8.785,5,19.073,11.402,0,-10.227,11.053,14,10329,5658483,144.8474,16.52,19.9887,13.3,VA
2086,12/31/2023,INDL,BAX,71813109,BAXTER INTERNATIONAL INC,6389,692,692,8402,2939,2663,2935,7852,506,1,2796,2976,-65,-3489,739,11,10456,1334838836,19625.0918,38.66,53.12,31.01,IL
2101,6/30/2023,INDL,AIT,03820C105,APPLIED INDUSTRIAL TECH INC,188.646,26.476,26.476,1458.437,363.738,346.739,363.738,3125.829,39.22,0.184,56.343,526.222,7.29,-126.888,19.125,11,109563,52000879,5598.6933,144.83,149.42,88.09,OH
2109,6/30/2023,INDL,SHGI,7.42E+107,SPARX HLDGS GROUP,0.129,0,0,0.099,-0.048,-0.048,-0.048,0,257.153,0.0001,0,-0.048,0.004,0.104,0.043,19,1874138,3079393,8.5148,0.03,0.1497,0.0135,RI
2111,9/30/2023,INDL,BDX,75887109,BECTON DICKINSON & CO,19743,874,874,25796,1424,1484,1424,8335,288.392,1,1258,5167,-119,-1956,673,11,10795,313659172,75075.0438,258.53,287.32,215.9,NJ
2113,8/31/2023,INDL,NICH,65476M208,NITCHES INC,30.225,0,0,-0.356,-0.827,-0.827,-0.827,0.021,194.593,0.001,0.141,-0.438,-0.021,0.416,0.384,19,772263,2408248251,0.5156,0.0015,0.0295,0.00105,NV
2124,12/31/2023,INDL,BELFB,77347300,BEL FUSE INC,44.26,12.126,12.126,340.558,78.34,73.831,78.34,410.652,12.776,0.1,6.835,110.614,0,-38.597,3.805,14,729580,33219758,847.5524,66.77,69.57,30.11,NJ
2136,12/31/2023,INDL,VZ,92343V104,VERIZON COMMUNICATIONS INC,14287,18767,18767,92430,12580,12095,12099,54805,4215,0.1,17239,47256,-1470,-14657,8526,11,732712,5471720566,158500.6397,37.7,44.73,30.135,NY
2137,12/31/2023,INDL,BCE,05534B760,BCE INC,1258,4581,4581,16562,1979,2327,1918,12332,912.2,22.86,5042,10417,-220,-1542,187,11,718940,551968055,47593.3868,52.17,65.66,49.565,QC
2176,12/31/2023,FS,BRK.B,84670702,BERKSHIRE HATHAWAY,34480,,,561273,,,,,,,13859,,,,,11,1067983,837346509,775636.06,356.66,373.34,292.42,NE
2176,12/31/2023,INDL,BRK.B,84670702,BERKSHIRE HATHAWAY,34480,19409,19409,561273,98465,97147,97512,301955,2173.32,0.0033,13859,134382,-4147,-14405,-80878,11,1067983,837346509,775636.06,356.66,373.34,292.42,NE
2184,1/31/2023,INDL,BBY,86516101,BEST BUY CO INC,21,930,930,2795,1412,1419,1412,35554,225.7,0.1,654,2860,0,-1806,297,11,764478,789987856,19349.832,88.72,112.96,60.785,MN
2220,12/31/2023,INDL,BIO,90572207,BIO-RAD LABORATORIES INC,449.075,156.68,156.68,8741.133,-506.54,-637.324,-506.54,1100.651,29.209,0.0001,40.865,501.134,0,-425.647,1301.618,11,12208,53137411,9197.0849,322.89,509.6225,261.59,CA
2240,7/31/2023,INDL,NIMU,655366508,NON INVASIVE MONITOR,26.574,0,0,-0.612,-0.199,-0.199,-0.199,0,154.811,0.01,0,-0.169,0,0.15,0,19,720762,1702727,3.0962,0.02,0.0425,0.0065,FL
2259,12/31/2023,INDL,BKH,92113109,BLACK HILLS CORP,2007.7,555.6,555.6,3215.3,276.8,276,263,1601.8,67.1,1,600,729.5,-31.3,-341.7,,11,1130464,128590970,3679.2282,53.95,73.98,46.43,SD
2269,6/30/2023,INDL,HRB,93671105,BLOCK H & R INC,770.376,69.698,69.698,32.064,538.246,553.7,538.246,1792.951,157.248,0.01,205.391,879.199,-7.498,-750.992,83.616,11,12659,386379465,4657.8005,31.87,48.76,28.83,MO
