gvkey,ticker,year,exchange,inddesc,naics,naicsdesc,sic,sicdesc,state,execid,gender,becameceo,title,age,bonus,salary,shrown_excl_opts,shrs_vest_num,shrs_vest_val,stock_awards,stock_awards_fv,stock_unvest_num,stock_unvest_val,total_alt1,total_alt2,total_curr,total_curr_pct,total_sec
1209,APD,2023,NYS,Industrial Gases,325120,Industrial Gas Manufacturing,2810,INDUSTRIAL INORGANIC CHEMICALS,PA,46680,MALE,7/1/2014,"Chairman, President & CEO",79,0,1350,680.229,28.916,9126.802,17074.629,5002.313,63.784,18076.385,10005.783,14130.272,1350,0,22078.099
1209,APD,2023,NYS,Industrial Gases,325120,Industrial Gas Manufacturing,2810,INDUSTRIAL INORGANIC CHEMICALS,PA,54880,MALE,,Executive Officer,62,0,838.462,43.72,4.915,1551.329,3801.539,1113.671,12.727,3606.832,3977.025,4414.683,838.462,-63.176,6664.893
1209,APD,2023,NYS,Industrial Gases,325120,Industrial Gas Manufacturing,2810,INDUSTRIAL INORGANIC CHEMICALS,PA,37237,MALE,,"EVP of Mergers & Acquisitions, EVP of Sustainability, General Counsel and Secretary",59,0,626.923,16.336,3.043,960.418,2111.813,618.775,8.273,2344.568,2377.162,2718.805,626.923,-40.293,3870.2
1209,APD,2023,NYS,Industrial Gases,325120,Industrial Gas Manufacturing,2810,INDUSTRIAL INORGANIC CHEMICALS,PA,60865,FEMALE,,Senior VP & CFO,43,0,626.923,10.141,0.352,111.101,2816.085,2816.085,4.97,1408.498,4451.9,1746.916,626.923,13.986,4451.9
1230,ALK,2023,NYS,Passenger Airlines,481111,Scheduled Passenger Air Transportation,4512,"AIR TRANSPORTATION, SCHEDULED",WA,37994,MALE,3/31/2021,"President, CEO & Director",56,0,637.692,138.854,42.008,1709.294,7969.932,6321.688,0,0,8664.81,4052.416,637.692,6.146,10313.054
1230,ALK,2023,NYS,Passenger Airlines,481111,Scheduled Passenger Air Transportation,4512,"AIR TRANSPORTATION, SCHEDULED",WA,47218,MALE,,Executive VP & Chief Commercial Officer of Alaska Airlines Inc.,52,0,530.923,26.048,24.235,1016.228,2915.973,1970.239,31.7,1238.519,3627.216,2673.205,530.923,4.655,4572.95
1230,ALK,2023,NYS,Passenger Airlines,481111,Scheduled Passenger Air Transportation,4512,"AIR TRANSPORTATION, SCHEDULED",WA,56358,MALE,,CFO & Executive VP of Finance,44,0,552.462,34.794,24.235,1016.228,4011.21,3852.041,21.83,852.898,5465.537,2629.724,552.462,4.702,5624.706
1230,ALK,2023,NYS,Passenger Airlines,481111,Scheduled Passenger Air Transportation,4512,"AIR TRANSPORTATION, SCHEDULED",WA,61277,FEMALE,,Executive VP & COO of Alaska Airlines Inc,57,0,438.908,13.761,9.284,357.102,2993.735,1184.842,23.08,901.735,2769.114,1536.451,438.908,5.141,4578.007
1230,ALK,2023,NYS,Passenger Airlines,481111,Scheduled Passenger Air Transportation,4512,"AIR TRANSPORTATION, SCHEDULED",WA,64965,MALE,,"Chief Ethics & Compliance Officer, Senior VP of Legal, General Counsel and Corporate Secretary",51,0,494.292,19.796,8.907,356.875,2350.784,1741.843,28.46,1111.933,3045.696,1557.925,494.292,,3654.637
1254,MATX,2023,NYS,Marine Transportation,483113,Coastal and Great Lakes Freight Transportation,4400,WATER TRANSPORTATION,HI,26079,MALE,6/26/2012,Chairman & CEO,62,0,904.234,214.025,108.224,6825.396,3237.822,3237.823,41.88,4590.048,6165.816,9753.389,904.234,1.107,6165.815
1254,MATX,2023,NYS,Marine Transportation,483113,Coastal and Great Lakes Freight Transportation,4400,WATER TRANSPORTATION,HI,42393,MALE,,Executive VP & CFO,51,0,586.497,162.583,32.468,2047.494,971.343,971.343,12.384,1357.286,2512.313,3588.464,586.497,1.107,2512.313
1254,MATX,2023,NYS,Marine Transportation,483113,Coastal and Great Lakes Freight Transportation,4400,WATER TRANSPORTATION,HI,46840,MALE,,"Executive VP, Chief Administrative Officer & General Counsel",54,0,468.212,40.479,28.256,1781.897,755.48,405.471,9.832,1077.587,1623.152,2999.578,468.212,1.107,1973.161
1254,MATX,2023,NYS,Marine Transportation,483113,Coastal and Great Lakes Freight Transportation,4400,WATER TRANSPORTATION,HI,48543,MALE,,Executive VP & Chief Commercial Officer,62,0,470.706,22.148,29.125,1837.124,755.48,492.957,11.052,1211.299,1709.59,3053.757,470.706,1.107,1972.113
1254,MATX,2023,NYS,Marine Transportation,483113,Coastal and Great Lakes Freight Transportation,4400,WATER TRANSPORTATION,HI,50373,MALE,,Executive VP & President of Matson Logistics,65,0,438.121,16.919,20.794,1311.515,755.48,755.48,9.574,1049.31,1865.536,2421.571,438.121,1.107,1865.536
1300,HON,2023,NAS,Industrial Conglomerates,336413,Other Aircraft Parts and Auxiliary Equipment Manuf,9997,CONGLOMERATES,NC,50374,MALE,3/31/2017,Executive Chairman,57,0,1459.712,230.586,0,0,13500.247,13500.247,119.401,25039.583,23029.368,5029.069,1459.712,-14.135,23029.368
1300,HON,2023,NAS,Industrial Conglomerates,336413,Other Aircraft Parts and Auxiliary Equipment Manuf,9997,CONGLOMERATES,NC,55775,MALE,,Senior VP & CFO,54,0,920.612,55.471,23.92,4884.644,4102.41,4102.41,34.181,7168.098,7951.428,9678.603,920.612,4.407,7951.428
1300,HON,2023,NAS,Industrial Conglomerates,336413,Other Aircraft Parts and Auxiliary Equipment Manuf,9997,CONGLOMERATES,NC,57729,FEMALE,,Senior VP & General Counsel,58,0,890.546,40.812,117.11,23878.568,3738.983,3738.983,35.397,7423.105,7518.47,41046.272,890.546,-0.622,7518.47
1300,HON,2023,NAS,Industrial Conglomerates,336413,Other Aircraft Parts and Auxiliary Equipment Manuf,9997,CONGLOMERATES,NC,54514,MALE,,"President and CEO of Industrial Automation, Performance Materials & Technologies Segment",51,0,769.231,5.936,9.726,1765.053,2850.019,2850.019,22.578,4734.832,5759.706,3724.682,769.231,100,5759.706
1300,HON,2023,NAS,Industrial Conglomerates,336413,Other Aircraft Parts and Auxiliary Equipment Manuf,9997,CONGLOMERATES,NC,62755,MALE,6/1/2023,CEO & Director,58,0,1225,25.93,12.754,2617.849,7530.223,7530.223,30.608,6418.805,14401.63,10091.205,1225,41.195,14401.63
1300,HON,2023,NAS,Industrial Conglomerates,336413,Other Aircraft Parts and Auxiliary Equipment Manuf,9997,CONGLOMERATES,NC,64966,MALE,,,56,0,531.56,0.845,2.827,567.988,2469.418,2613.418,9.917,2079.693,5039.383,2074.9,531.56,,4895.383
1327,SWKS,2023,NAS,Semiconductors,334413,Semiconductor and Related Device Manufacturing,3674,SEMICONDUCTORS AND RELATED DEVICES,CA,24319,MALE,5/11/2016,"CEO, President & Chairman of the Board",56,0,1170.502,142.163,60.765,5649.836,14554.926,0,63.585,6268.845,2706.51,8705.323,1170.502,4.11,17261.436
1327,SWKS,2023,NAS,Semiconductors,334413,Semiconductor and Related Device Manufacturing,3674,SEMICONDUCTORS AND RELATED DEVICES,CA,36045,MALE,,Senior VP & CFO,54,0,604.2,100.365,18.591,1729.714,4142.435,1479.913,33.938,3345.947,2591.64,4083.815,604.2,3.266,5254.162
1327,SWKS,2023,NAS,Semiconductors,334413,Semiconductor and Related Device Manufacturing,3674,SEMICONDUCTORS AND RELATED DEVICES,CA,53933,MALE,,Senior Vice President of Sales & Marketing,52,0,538.9,47.932,16.503,1533.838,4377.587,2813.624,57.135,5632.941,3726.216,2446.43,538.9,4.574,5290.179
1327,SWKS,2023,NAS,Semiconductors,334413,Semiconductor and Related Device Manufacturing,3674,SEMICONDUCTORS AND RELATED DEVICES,CA,55776,MALE,,"Senior VP, General Counsel & Secretary",57,0,538.2,17.104,14.204,1324.298,3605.11,3605.11,34.081,3360.046,4517.347,2236.535,538.2,3.722,4517.347
1327,SWKS,2023,NAS,Semiconductors,334413,Semiconductor and Related Device Manufacturing,3674,SEMICONDUCTORS AND RELATED DEVICES,CA,62474,MALE,,Senior Vice President of Technology & Manufacturing,50,0,574.1,20.082,16.768,1566.232,4377.587,4377.586,45.788,4514.24,5357.635,2546.281,574.1,3.689,5357.636
1380,HES,2023,NYS,Oil & Gas Exploration & Production,2111,Oil and Gas Extraction,1311,CRUDE PETROLEUM AND NATURAL GAS,NY,2132,MALE,5/3/1995,CEO & Director,69,0,1500,21651.133,109.649,15815.772,6900.071,6900.071,0,0,16750.203,21065.906,1500,0,16750.203
1380,HES,2023,NYS,Oil & Gas Exploration & Production,2111,Oil and Gas Extraction,1311,CRUDE PETROLEUM AND NATURAL GAS,NY,27672,MALE,,Executive VP & CFO,61,0,900,340.159,34.998,5030.309,2400.01,2400.01,9.621,1386.963,5517.074,7547.39,900,5.882,5517.074
1380,HES,2023,NYS,Oil & Gas Exploration & Production,2111,Oil and Gas Extraction,1311,CRUDE PETROLEUM AND NATURAL GAS,NY,36718,MALE,,COO and President of Exploration & Production,62,0,1100,125.67,82.314,11831.126,5680.118,1420.03,22.67,3268.107,6531.392,15522.477,1100,0,10791.48
1380,HES,2023,NYS,Oil & Gas Exploration & Production,2111,Oil and Gas Extraction,1311,CRUDE PETROLEUM AND NATURAL GAS,NY,36719,MALE,,"Executive VP, General Counsel, Corporate Secretary & Chief Compliance Officer",66,0,850,162.144,33.798,4857.848,2300.039,2300.038,0,0,5300.859,7283.685,850,3.03,5300.86
1380,HES,2023,NYS,Oil & Gas Exploration & Production,2111,Oil and Gas Extraction,1311,CRUDE PETROLEUM AND NATURAL GAS,NY,59749,FEMALE,,Senior VP & Chief Exploration Officer,66,0,750,133.691,31.79,4571.012,1760.018,439.937,6.923,998.02,2746.69,8678.811,750,7.143,4066.771
1410,ABM,2023,NYS,Environmental & Facilities Services,561720,Janitorial Services,7340,SERVICES TO DWELLINGS AND OTHER BUILDINGS,NY,48544,MALE,3/31/2015,"President, CEO & Director",61,0,1000,326.69,162.518,7408.301,5750.227,0,132.66,5218.805,2503.375,9911.676,1000,0,8253.602
1410,ABM,2023,NYS,Environmental & Facilities Services,561720,Janitorial Services,7340,SERVICES TO DWELLINGS AND OTHER BUILDINGS,NY,54883,MALE,,Executive VP & COO,62,0,700,52.849,36.485,1664.312,2100.058,2100.058,41.197,1620.673,3682.774,3247.028,700,0,3682.774
1410,ABM,2023,NYS,Environmental & Facilities Services,561720,Janitorial Services,7340,SERVICES TO DWELLINGS AND OTHER BUILDINGS,NY,55777,FEMALE,,"Executive VP, General Counsel & Corporate Secretary",60,0,575,29.249,27.635,1259.931,1150.036,1150.037,24.684,971.081,2142.045,2251.939,575,4.545,2142.044
1410,ABM,2023,NYS,Environmental & Facilities Services,561720,Janitorial Services,7340,SERVICES TO DWELLINGS AND OTHER BUILDINGS,NY,59424,MALE,,Executive VP and Chief Strategy & Transformation Officer,48,0,600,56.858,35.948,1638.594,1500.022,1500.022,24.202,952.078,2824.335,2962.907,600,4.348,2824.335
1410,ABM,2023,NYS,Environmental & Facilities Services,561720,Janitorial Services,7340,SERVICES TO DWELLINGS AND OTHER BUILDINGS,NY,61034,MALE,,Executive VP & CFO,58,0,630,41.214,26.595,1216.803,1575.033,1575.033,34.992,1376.574,2998.927,2640.697,630,0,2998.927
1414,PRI,2023,NYS,Life & Health Insurance,524113,Direct Life Insurance Carriers,6311,LIFE INSURANCE,GA,43826,MALE,4/1/2015,CEO & Director,64,0,600,51.321,19.543,3751.083,2199.91,2199.91,5.938,1221.803,4179.56,8218.696,600,-14.286,4179.56
1414,PRI,2023,NYS,Life & Health Insurance,524113,Direct Life Insurance Carriers,6311,LIFE INSURANCE,GA,43829,FEMALE,,Executive Vice President,55,0,500,9.18,7.361,1412.87,1199.985,1199.984,4.235,871.393,2383.711,5618.962,500,0,2383.712
1414,PRI,2023,NYS,Life & Health Insurance,524113,Direct Life Insurance Carriers,6311,LIFE INSURANCE,GA,43830,MALE,,President,67,0,550,13.259,10.979,2107.309,1749.777,1749.778,10.948,2252.66,3430.005,4543.577,550,0,3430.004
1414,PRI,2023,NYS,Life & Health Insurance,524113,Direct Life Insurance Carriers,6311,LIFE INSURANCE,GA,43831,MALE,,Executive VP & COO,60,0,500,3.379,7.361,1412.87,1199.985,599.992,7.474,1537.85,1793.465,4871.271,500,0,2393.458
1414,PRI,2023,NYS,Life & Health Insurance,524113,Direct Life Insurance Carriers,6311,LIFE INSURANCE,GA,64967,FEMALE,,Executive VP & CFO,52,0,104.167,0.284,0,0,249.972,249.972,1.217,250.41,883.7,633.728,104.167,,883.7
1440,AEP,2023,NAS,Electric Utilities,2211,"Electric Power Generation, Transmission and Distri",4911,ELECTRIC SERVICES,OH,40778,MALE,11/12/2011,Executive Chair,63,0,862.5,72.662,129.503,10832.634,2000,2000,22.335,1814.049,4647.101,13479.735,862.5,-42.881,4647.101
1440,AEP,2023,NAS,Electric Utilities,2211,"Electric Power Generation, Transmission and Distri",4911,ELECTRIC SERVICES,OH,33906,MALE,,"Executive VP, General Counsel & Secretary",53,0,746,22.291,21.222,1771.858,1560.286,1560.286,9.054,735.365,2831.15,3042.722,746,4.482,2831.15
1440,AEP,2023,NAS,Electric Utilities,2211,"Electric Power Generation, Transmission and Distri",4911,ELECTRIC SERVICES,OH,48547,MALE,,Executive VP & CFO,62,0,639.625,54.861,18.38,1534.464,2852.248,2852.248,28.007,2274.728,3986.981,2669.197,639.625,7.863,3986.981
1440,AEP,2023,NAS,Electric Utilities,2211,"Electric Power Generation, Transmission and Distri",4911,ELECTRIC SERVICES,OH,59134,FEMALE,1/1/2023,"Chairman, President & CEO",53,0,1200,49.855,28.671,2448.686,8321.524,8321.524,41.952,3407.342,10633.745,4760.907,1200,53.892,10633.745
1440,AEP,2023,NAS,Electric Utilities,2211,"Electric Power Generation, Transmission and Distri",4911,ELECTRIC SERVICES,OH,62757,FEMALE,,Executive VP & CFO,52,250,525,0.267,1.809,142.268,2042.588,2042.588,0,0,3368.454,1468.134,775,1151.554,3368.454
1440,AEP,2023,NAS,Electric Utilities,2211,"Electric Power Generation, Transmission and Distri",4911,ELECTRIC SERVICES,OH,64661,MALE,,Executive Vice President of Energy Services,54,0,585,7.908,5.326,444.86,1248.229,1248.229,4.566,370.85,2347.643,1544.274,585,23.981,2347.643
1440,AEP,2023,NAS,Electric Utilities,2211,"Electric Power Generation, Transmission and Distri",4911,ELECTRIC SERVICES,OH,64662,FEMALE,,Executive Vice President of Utilities,46,0,585,14.087,4.378,368.701,1248.229,1248.229,4.272,346.972,2227.863,1348.335,585,41.181,2227.863
1447,AXP,2023,NYS,Consumer Finance,522210,Credit Card Issuing,6141,PERSONAL CREDIT INSTITUTIONS,NY,35181,MALE,2/1/2018,Chairman & CEO,63,9750,1500,230.096,102.186,17607.67,19287.28,4449.964,0,0,16389.625,29547.331,11250,-4.762,35676.905
1447,AXP,2023,NYS,Consumer Finance,522210,Credit Card Issuing,6141,PERSONAL CREDIT INSTITUTIONS,NY,26838,MALE,,Vice Chairman & CFO,62,5550,1000,145.529,38.109,6566.562,5786.04,6721.012,0,0,13515.922,15077.653,6550,-14.098,13840.92
1447,AXP,2023,NYS,Consumer Finance,522210,Credit Card Issuing,6141,PERSONAL CREDIT INSTITUTIONS,NY,47222,MALE,,Vice Chairman,62,6500,1100,139.818,41.579,7164.477,6281.184,1679.968,0,0,9630.392,15934.309,7600,-8.434,15611.578
1447,AXP,2023,NYS,Consumer Finance,522210,Credit Card Issuing,6141,PERSONAL CREDIT INSTITUTIONS,NY,35723,FEMALE,,Chief Legal Officer,61,4500,875,57.692,31.007,5342.816,4274.053,1139.949,0,0,6670.429,10873.296,5375,-6.893,10744.483
1447,AXP,2023,NYS,Consumer Finance,522210,Credit Card Issuing,6141,PERSONAL CREDIT INSTITUTIONS,NY,55779,MALE,,Group President of Enterprise Services,57,5750,1000,79.49,34.179,5889.383,5265.119,5265.118,0,0,12222.017,12846.282,6750,-4.085,13381.978
1447,AXP,2023,NYS,Consumer Finance,522210,Credit Card Issuing,6141,PERSONAL CREDIT INSTITUTIONS,NY,64663,MALE,,Chief Financial Officer,57,2650,719.129,4.397,21.335,3555.201,2708.888,2708.888,0,0,6245.154,7091.467,3369.129,,6245.154
1449,AFL,2023,NYS,Life & Health Insurance,524114,Direct Health and Medical Insurance Carriers,6321,ACCIDENT AND HEALTH INSURANCE,GA,13,MALE,1/1/1990,"President, Chairman & CEO",71,0,1441.1,3076.179,274.713,19507.37,10270.666,0,401.671,33137.858,10432.587,29939.957,1441.1,0,20703.253
1449,AFL,2023,NYS,Life & Health Insurance,524114,Direct Health and Medical Insurance Carriers,6321,ACCIDENT AND HEALTH INSURANCE,GA,31024,MALE,,Executive Vice President,59,0,997.5,189.645,66.759,4740.557,3078.084,3078.084,94.654,7808.955,8196.496,13232.202,997.5,5,8196.496
1449,AFL,2023,NYS,Life & Health Insurance,524114,Direct Health and Medical Insurance Carriers,6321,ACCIDENT AND HEALTH INSURANCE,GA,53934,FEMALE,,Executive VP & General Counsel,58,0,740,327.694,56.644,4022.29,1979.004,1979.004,80.314,6625.905,6510.656,8553.942,740,0,6510.656
1449,AFL,2023,NYS,Life & Health Insurance,524114,Direct Health and Medical Insurance Carriers,6321,ACCIDENT AND HEALTH INSURANCE,GA,59425,MALE,,Executive VP & CFO,43,0,750,166.349,31.721,2252.508,2428.668,2428.668,83.969,6927.443,5734.02,5557.86,750,14.504,5734.02
1449,AFL,2023,NYS,Life & Health Insurance,524114,Direct Health and Medical Insurance Carriers,6321,ACCIDENT AND HEALTH INSURANCE,GA,64968,MALE,,"Executive VP, Global Chief Investment Officer & President of Aflac Global Investments",57,0,625,11.364,6.453,454.427,1125.293,1125.293,13.892,1146.09,4327.211,3656.345,625,,4327.211
1487,AIG,2023,NYS,Multi-line Insurance,524126,Direct Property and Casualty Insurance Carriers,6331,"FIRE, MARINE, AND CASUALTY INSURANCE",NY,47224,MALE,,"President & CEO of Corebridge Financial, Inc.",61,0,1250,267.431,231.716,9672.231,2927.993,0,278.408,9953.681,5704.104,14376.338,1250,0,8632.097
