ticker,year,gvkey,gender,co_per_rol,pceo,pcfo,title,age,bonus,opt_exer_val,opt_unex_exer_est_val,opt_unex_unexer_est_val,othcomp,pension_value_tot,salary,stock_awards,stock_unvest_val,tdc1,tdc2,total_sec
PNW,2023,1075,MALE,68998,,,EVP & Chief Nuclear Officer of Palo Verde Generating Station of Arizona Public Service Company,58,0,0,0,0,24.473,311.851,715,1338.517,938.59,2434.003,2434.003,3076.307
PNW,2023,1075,MALE,69000,,CFO,Senior VP & CFO,44,0,0,0,0,28.935,225.875,600,1269.171,820.126,2490.936,2490.936,2654.293
PRG,2023,1076,MALE,50433,CEO,,"CEO, President & Director",51,0,0,865.809,788.999,40.319,0,975,4675.007,10248.365,8267.228,7017.218,9192.231
PRG,2023,1076,MALE,52405,,,"Founder, Chief Innovation Officer & Director",50,0,0,24.115,48.23,20.313,0,130,821.983,2431.597,750.301,750.301,972.296
PRG,2023,1076,MALE,65529,,CFO,Chief Financial Officer,43,0,0,24.388,211.214,15.732,0,550,1285.625,2676.435,2843.523,2499.775,3097.898
PRG,2023,1076,MALE,71607,,,Chief Legal & Compliance Officer,56,0,0,0,0,137.711,0,366.875,547.579,888.415,1372.055,1372.055,1443.258
ABT,2023,1078,MALE,48320,,,"Executive VP, General Counsel & Secretary",57,0,0,52073.022,278.648,228.916,6737.356,830,1959.639,0,5920.248,3960.255,7420.66
ABT,2023,1078,MALE,59834,CEO,,"Chairman of the Board, President & CEO",49,0,0,31262.125,0,283.392,11125.613,1500,7436.6,0,19602.891,12165.242,23268.171
ABT,2023,1078,MALE,59836,,,Executive VP and Group President of Established Pharmaceuticals & Nutritional Products,44,0,0,16772.88,267.345,91.977,1223.355,790,1880.183,0,5522.953,3642.46,5934.83
ABT,2023,1078,FEMALE,63146,,,Executive VP & Group President of Medical Devices,53,0,0,2657.866,239.478,85.38,922.327,737.654,1684.197,0,5096.608,3412.131,5498.436
ABT,2023,1078,MALE,65142,,CFO,Executive Vice President of Finance,62,0,0,12203.319,0,238.79,10765.381,875,2593.908,0,7364.147,4769.798,8992.208
ABT,2023,1078,MALE,71256,,,CFO & Senior VP of Finance,50,0,0,0,143.777,44.083,2280.441,513.943,786.041,0,2198.117,1411.845,3317.182
AMD,2023,1161,FEMALE,46953,CEO,,"Chair, President & CEO",53,0,120403.857,13950.276,0,28.711,0,1200,21848.258,9531.088,8500.023,123065.368,30348.281
AMD,2023,1161,MALE,46954,,,Executive Officer,67,0,8047.933,0,404.534,16.831,0,251.231,5644.769,0,268.062,8315.995,7127.117
AMD,2023,1161,MALE,49997,,,Executive VP & GM of Data Center Solutions Business Unit,58,0,0,11220.822,1440.313,15.438,0,693.462,13258.106,8523.688,5302.197,4037.206,15750.641
AMD,2023,1161,MALE,69002,,,President of AMD,63,0,0,728.203,1311.038,16.458,0,915,9229.013,14593,10843.183,8897.03,12789.443
AMD,2023,1161,FEMALE,71608,,CFO,"Executive VP, CFO & Treasurer",60,2000,0,0,983.269,16.458,0,683.173,28146.669,15562.516,25734.858,25734.858,32813.869
AMD,2023,1161,MALE,71609,,,,,3000,0,0,786.6,54.525,0,418.269,17410.993,10174.681,19567.443,18399.784,22360.607
APD,2023,1209,MALE,49820,CEO,,"Chairman, President & CEO",79,0,0,0,0,401.795,0,1350,17074.629,18076.385,9994.108,9994.108,22078.099
APD,2023,1209,MALE,59838,,,Executive Officer,62,0,0,0,0,526.587,0,838.462,3801.539,3606.832,3974.72,3974.72,6664.893
APD,2023,1209,MALE,60867,,,"EVP of Mergers & Acquisitions, EVP of Sustainability, General Counsel and Secretary",59,0,0,0,0,89.144,0,626.923,2111.813,2344.568,2377.162,2377.162,3870.2
APD,2023,1209,FEMALE,66819,,CFO,Senior VP & CFO,43,0,0,0,0,72.467,0,626.923,2816.085,1408.498,4451.475,4451.475,4451.9
ALK,2023,1230,MALE,40103,CEO,,"President, CEO & Director",56,0,0,0,0,386.446,0,637.692,7969.932,0,8570.214,8570.214,10313.054
ALK,2023,1230,MALE,50436,,,Executive VP & Chief Commercial Officer of Alaska Airlines Inc.,52,0,0,0.265,0,379.649,0,530.923,2915.973,1238.519,3526.884,3526.884,4572.95
ALK,2023,1230,MALE,61550,,CFO,CFO & Executive VP of Finance,44,0,0,0,0,297.066,237.533,552.462,4011.21,852.898,5373.812,5373.812,5624.706
ALK,2023,1230,FEMALE,67303,,,Executive VP & COO of Alaska Airlines Inc,57,0,0,0,0,173.348,0,438.908,2993.735,901.735,2736.291,2331.368,4578.007
ALK,2023,1230,MALE,71610,,,"Chief Ethics & Compliance Officer, Senior VP of Legal, General Counsel and Corporate Secretary",51,0,0,0,0,211.946,0,494.292,2350.784,1111.933,3026.009,2923.206,3654.637
MATX,2023,1254,MALE,26876,CEO,,Chairman & CEO,62,0,0,0,0,110.673,2661.382,904.234,3237.822,4590.048,5969.645,5969.645,6165.815
MATX,2023,1254,MALE,45029,,CFO,Executive VP & CFO,51,0,0,0,0,53.735,378.093,586.497,971.343,1357.286,2398.801,2398.801,2512.313
MATX,2023,1254,MALE,49999,,,"Executive VP, Chief Administrative Officer & General Counsel",54,0,0,0,0,36.335,387.612,468.212,755.48,1077.587,1536.017,1536.017,1973.161
MATX,2023,1254,MALE,51945,,,Executive VP & Chief Commercial Officer,62,0,0,0,0,37.947,671.018,470.706,755.48,1211.299,1632.229,1632.229,1972.113
MATX,2023,1254,MALE,54027,,,Executive VP & President of Matson Logistics,65,0,0,0,0,35.107,690.938,438.121,755.48,1049.31,1796.228,1796.228,1865.536
HON,2023,1300,MALE,54028,,,Executive Chairman,57,0,0,57989.244,6079.312,219.867,5037.15,1459.712,13500.247,25039.583,22513.878,18013.826,23029.368
HON,2023,1300,MALE,60868,,CFO,Senior VP & CFO,54,0,2312.657,11860.427,1853.766,75.443,1806.027,920.612,4102.41,7168.098,7629.081,8574.022,7951.428
HON,2023,1300,FEMALE,63148,,,Senior VP & General Counsel,58,0,14634.407,12812.872,1822.982,73.338,3156.654,890.546,3738.983,7423.105,7025.557,20413.774,7518.47
HON,2023,1300,MALE,69003,,,"President and CEO of Industrial Automation, Performance Materials & Technologies Segment",51,0,0,334.11,1242.961,214.697,0,769.231,2850.019,4734.832,5759.205,4809.147,5759.706
HON,2023,1300,MALE,69004,CEO,,CEO & Director,58,0,3112.053,5261.454,2198.296,435.965,992.76,1225,7530.223,6418.805,14117.792,14719.741,14401.63
HON,2023,1300,MALE,71611,,,,56,0,0,357.472,485.614,46.413,532.704,531.56,2469.418,2079.693,4940.136,4021.083,4895.383
SWKS,2023,1327,MALE,24897,CEO,,"CEO, President & Chairman of the Board",56,0,348.977,0,0,26.404,0,1170.502,14554.926,6268.845,2706.51,3055.487,17261.436
SWKS,2023,1327,MALE,54030,,CFO,Senior VP & CFO,54,0,1242.374,267.276,0,20.921,0,604.2,4142.435,3345.947,2591.64,3834.014,5254.162
SWKS,2023,1327,MALE,58580,,,Senior Vice President of Sales & Marketing,52,0,0,0,0,26.162,0,538.9,4377.587,5632.941,3726.216,3726.216,5290.179
SWKS,2023,1327,MALE,60869,,,"Senior VP, General Counsel & Secretary",57,0,0,0,0,27.15,0,538.2,3605.11,3360.046,4517.347,4517.347,4517.347
SWKS,2023,1327,MALE,68674,,,Senior Vice President of Technology & Manufacturing,50,0,0,0,0,35.936,0,574.1,4377.587,4514.24,5357.635,5357.635,5357.636
HES,2023,1380,MALE,79,CEO,,CEO & Director,69,0,0,34923.049,3090.787,26.334,46822.781,1500,6900.071,0,16750.203,12150.205,16750.203
HES,2023,1380,MALE,28641,,CFO,Executive VP & CFO,61,0,0,2125.845,401.874,26.334,19087.879,900,2400.01,1386.963,5250.327,4650.344,5517.074
HES,2023,1380,MALE,38782,,,COO and President of Exploration & Production,62,0,0,6604.649,1688.996,26.334,20269.616,1100,5680.118,3268.107,6333.075,4913.064,10791.48
HES,2023,1380,MALE,38783,,,"Executive VP, General Counsel, Corporate Secretary & Chief Compliance Officer",66,0,0,1265.734,353.838,26.333,5951.733,850,2300.039,0,5033.955,4458.971,5300.86
HES,2023,1380,FEMALE,65535,,,Senior VP & Chief Exploration Officer,66,0,2241.072,615.8,509.244,26.334,2462.436,750,1760.018,998.02,2483.797,4284.843,4066.771
ABM,2023,1410,MALE,51946,CEO,,"President, CEO & Director",61,0,0,0,0,21,0,1000,5750.227,5218.805,2503.375,2503.375,8253.602
ABM,2023,1410,MALE,59841,,,Executive VP & COO,62,0,0,0,0,24.56,0,700,2100.058,1620.673,3682.774,3682.774,3682.774
ABM,2023,1410,FEMALE,60870,,,"Executive VP, General Counsel & Corporate Secretary",60,0,0,0,0,13.2,0,575,1150.036,971.081,2142.045,2142.045,2142.044
ABM,2023,1410,MALE,65145,,,Executive VP and Chief Strategy & Transformation Officer,48,0,0,0,0,0,0,600,1500.022,952.078,2824.335,2824.335,2824.335
ABM,2023,1410,MALE,67009,,CFO,Executive VP & CFO,58,0,0,0,0,21.553,0,630,1575.033,1376.574,2998.927,2998.927,2998.927
PRI,2023,1414,MALE,46621,CEO,,CEO & Director,64,0,2487.963,0,0,131.65,0,600,2199.91,1221.803,4179.56,6667.523,4179.56
PRI,2023,1414,FEMALE,46624,,CFO,Executive Vice President,55,0,3022.365,0,0,59.727,0,500,1199.985,871.393,2383.711,5406.076,2383.712
PRI,2023,1414,MALE,46625,,,President,67,0,756.041,0,0,90.227,0,550,1749.777,2252.66,3430.005,4186.046,3430.004
PRI,2023,1414,MALE,46626,,,Executive VP & COO,60,0,2264.928,0,0,69.473,0,500,1199.985,1537.85,1793.465,4058.393,2393.458
PRI,2023,1414,FEMALE,71612,,,Executive VP & CFO,52,0,0,0,0,9.561,0,104.167,249.972,250.41,883.7,883.7,883.7
AEP,2023,1440,MALE,43255,CEO,,Executive Chair,63,0,0,0,0,359.384,4157.802,862.5,2000,1814.049,3918.033,3918.033,4647.101
AEP,2023,1440,MALE,46628,,,"Executive VP, General Counsel & Secretary",53,0,0,0,0,109.767,946.713,746,1560.286,735.365,2679.553,2679.553,2831.15
AEP,2023,1440,MALE,51949,,,Executive VP & CFO,62,0,0,0,0,73.17,2034.479,639.625,2852.248,2274.728,3805.543,3805.543,3986.981
AEP,2023,1440,FEMALE,67010,,,"Chairman, President & CEO",53,0,0,0,0,114.455,840.319,1200,8321.524,3407.342,10423.482,10423.482,10633.745
AEP,2023,1440,FEMALE,69006,,CFO,Executive VP & CFO,52,250,0,0,0,550.866,0,525,2042.588,0,3368.454,3368.454,3368.454
AEP,2023,1440,MALE,71257,,,Executive Vice President of Energy Services,54,0,0,0,0,170.9,843.501,585,1248.229,370.85,2224.629,2224.629,2347.643
AEP,2023,1440,FEMALE,71258,,,Executive Vice President of Utilities,46,0,0,0,0,87.482,378.12,585,1248.229,346.972,2141.211,2141.211,2227.863
AXP,2023,1447,MALE,37051,CEO,,Chairman & CEO,63,9750,0,21185.602,0,625.127,1260.536,1500,19287.28,0,16325.091,16325.091,35676.905
AXP,2023,1447,MALE,48327,,CFO,Vice Chairman & CFO,62,5550,1716.181,10865.346,0,244.91,0,1000,5786.04,0,13515.922,15232.103,13840.92
AXP,2023,1447,MALE,50440,,,Vice Chairman,62,6500,819.408,9754.199,0,301.189,510.246,1100,6281.184,0,9581.157,10400.565,15611.578
AXP,2023,1447,FEMALE,52411,,,Chief Legal Officer,61,4500,0,1896.225,0,155.48,0,875,4274.053,0,6670.429,6670.429,10744.483
AXP,2023,1447,MALE,60872,,,Group President of Enterprise Services,57,5750,0,5121.015,0,173.996,469.337,1000,5265.119,0,12189.114,12189.114,13381.978
AXP,2023,1447,MALE,71259,,,Chief Financial Officer,57,2650,0,0,0,167.137,0,719.129,2708.888,0,6245.154,6245.154,6245.154
AFL,2023,1449,MALE,2653,CEO,,"President, Chairman & CEO",71,0,0,0,0,474.889,2106.695,1441.1,10270.666,33137.858,7712.322,7712.322,20703.253
AFL,2023,1449,MALE,51950,,,Executive Vice President,59,0,3373.233,0,0,967.69,0,997.5,3078.084,7808.955,8196.496,11569.729,8196.496
AFL,2023,1449,FEMALE,58581,,,Executive VP & General Counsel,58,0,0,2991.882,0,27.508,11699.305,740,1979.004,6625.905,4001.036,4001.036,6510.656
AFL,2023,1449,MALE,65146,,CFO,Executive VP & CFO,43,0,0,204.202,0,479.749,0,750,2428.668,6927.443,5734.02,5734.02,5734.02
AFL,2023,1449,MALE,71613,,,"Executive VP, Global Chief Investment Officer & President of Aflac Global Investments",57,0,0,0,0,426.855,287.17,625,1125.293,1146.09,4277.259,4277.259,4327.211
AIG,2023,1487,MALE,50442,,,"President & CEO of Corebridge Financial, Inc.",61,0,0,8495.468,9711.777,72.192,0,1250,2927.993,9953.681,5572.189,4572.192,8632.097
AIG,2023,1487,MALE,59843,CEO,,"Chairman, CEO & President",56,0,0,17983.767,8480.108,258.645,0,1500,10359.302,95508.799,14258.634,10758.645,24617.936
AIG,2023,1487,MALE,62303,,,"Executive VP, Global Chief Actuary & Head of Portfolio Management",66,0,0,0,0,3794.573,0,96.154,0,0,3890.727,3890.727,3890.727
AIG,2023,1487,FEMALE,65536,,,"Executive VP, General Counsel and Global Head of Communications & Government Affairs",57,0,0,8051.638,2729.703,46.371,0,1000,2426.863,11358.286,4671.358,3846.371,8431.399
AIG,2023,1487,MALE,67304,,,Executive VP & Chairman of General Insurance,64,0,0,5032.308,2992.885,33.213,0,1000,2941.641,9904.1,6283.212,5283.213,9224.853
AIG,2023,1487,MALE,69008,,,Executive VP & CFO ( leave of absence),55,0,0,3529.162,0,5464.476,0,500,2515.801,0,8614.462,7764.476,11130.263
AIG,2023,1487,MALE,71614,,,"Executive VP, Chief Digital Officer & Global Head of Business Operations",55,1793,0,46.652,293.263,86.772,0,1000,1103.095,691.659,6604.766,6229.772,7707.861
AIG,2023,1487,FEMALE,71615,,CFO,Executive VP & CFO,60,125,0,884.471,850.503,45.367,0,975,3063.217,4365.329,4595.357,3995.367,7658.574
AVD,2023,1585,MALE,38031,CEO,,Chairman & CEO,67,0,0,0,0,65.692,0,755.655,1688.426,2222.566,2509.773,2509.773,2509.773
AVD,2023,1585,MALE,38032,,CFO,"VP, CFO & Treasurer",66,0,0,0,0,79.793,0,428.278,180.68,290.946,688.747,688.747,688.751
AVD,2023,1585,MALE,44072,,,"General Counsel, Chief Administrative Officer & Secretary",63,0,0,0,0,36.03,0,362.214,152.82,256.874,551.069,551.069,551.064
AVD,2023,1585,MALE,53143,,,COO & Executive VP,65,0,0,0,0,36.03,0,449.702,189.679,307.599,675.411,675.411,675.411
AVD,2023,1585,MALE,62009,,,Managing Director of AMVAC Netherlands BV,59,0,0,0,0,52.862,0,290.868,87.067,160.667,430.788,430.788,430.797
AVD,2023,1585,MALE,62010,,,Senior Vice President of Crop Sales for U.S. & Canada,53,0,0,0,0,44.401,0,348.001,99.899,198.535,492.301,492.301,492.301
AME,2023,1598,MALE,27232,CEO,,Chairman of the Board & CEO,58,788.8,6915.357,18372.841,3319.29,566.38,0,1360,7219.863,0,9189.973,11948.951,14538.544
AME,2023,1598,MALE,36951,,,President of Electronic Instruments,58,128.868,0,4895.356,515.496,152.06,0,645.534,738.524,771.685,2424.544,1871.48,2561.902
AME,2023,1598,MALE,54034,,CFO,Executive VP & CFO,61,112.678,2946.492,5324.541,1000.383,173.397,1231.7,704.238,1902.348,0,4068.362,5919.98,4425.325
AME,2023,1598,MALE,58587,,,President of Electronic Instruments,50,59.945,0,4245.385,481.511,142.07,0,559.715,704.237,725.681,2218.847,1691.824,2219.465
AME,2023,1598,MALE,69009,,,Chief Administrative Officer,55,137.522,0,4245.385,481.511,155.566,0,559.715,704.237,725.681,2183.901,1656.878,2183.901
AMGN,2023,1602,MALE,34806,CEO,,"Chairman, CEO & President",60,0,0,64735.874,17889.771,680.456,0,1786.977,11138.503,12334.457,22643.65,17869.936,22643.65
ADI,2023,1632,FEMALE,66821,,,Executive VP & Chief Customer Officer,44,0,0,26.478,26.478,50.719,0,600.962,4999.551,1444.006,7019.033,7019.033,7019.033
AMGN,2023,1602,MALE,61551,,,Executive Vice President of Global Commercial Operations,56,0,0,5928.89,5568.377,277.511,0,1144.623,3499.708,3835.562,8242.811,6742.842,8242.811
AMGN,2023,1602,MALE,61552,,,Executive VP & Chief Technology Officer,60,0,0,9008.793,5133.057,260.919,0,1212.823,3149.928,3543.51,7902.655,6552.67,7902.655
AMGN,2023,1602,MALE,65537,,CFO,Executive VP & CFO,64,0,0,1429.055,4932.699,261.623,0,1083.762,3149.928,3392.876,7569.298,6219.313,7569.298
AMGN,2023,1602,MALE,65538,,,Executive Vice President of Operations,55,0,0,12988.893,4875.825,256.689,0,1061.385,2939.776,3370.122,7205.836,5945.85,7205.836
ADI,2023,1632,MALE,33925,CEO,,CEO & Chair of the Board of Directors,63,0,5437.953,11285.39,2376.102,345.193,0,1128.846,19997.672,6919.764,20544.113,25982.066,25543.635
ADI,2023,1632,MALE,59846,,CFO,Executive VP of Finance & CFO,53,0,5946.552,98.654,649.267,104.873,0,685.577,5599.222,3856.891,7934.471,13881.023,7934.471
ADI,2023,1632,MALE,68675,,,Executive VP & President of Business Units,54,0,0,0,0,77.646,0,735.577,7999.186,14244.487,8038.603,8038.603,10838.275
ADI,2023,1632,MALE,69010,,,Executive Vice President of Global Operations & Technology,63,0,0,0,0,52.2,0,637.5,5249.301,3831.04,7363.076,7363.076,7363.076
ANDE,2023,1659,MALE,51953,CEO,,"President, CEO & Director",64,0,0,0,0,633.2,0,1000,3468.141,0,3631.632,3631.632,6826.492
ANDE,2023,1659,MALE,60875,,,President of The Andersons Nutrient & Industrial,58,0,0,0,0,156.657,0,450,424.186,582.708,1164.162,1164.162,1389.994
ANDE,2023,1659,MALE,60876,,CFO,Executive VP & CFO,53,0,0,0,0,230.236,0,585,882.307,538.172,2224.924,2224.924,2552.543
ANDE,2023,1659,MALE,63150,,,Chief Operating Officer,56,0,0,0,0,322.04,0,950,2440.548,143.16,5357.571,5357.571,5346.588
ANDE,2023,1659,FEMALE,65147,,,"Executive VP, General Counsel & Corporate Secretary",57,0,0,0,0,160.948,0,450,424.186,331.373,1655.847,1655.847,1615.634
NBR,2023,1661,MALE,2680,CEO,,"Chairman, President & CEO",68,0,0,0,0,1437.658,0,1750,5562.922,6732.516,10326.548,10326.548,10334.034
NBR,2023,1661,MALE,34939,,,Corporate Secretary,50,0,0,0,0,166.741,0,282.115,406.961,175.423,946.237,946.237,946.237
NBR,2023,1661,MALE,50445,,CFO,Chief Financial Officer,64,0,0,0,0,738.13,0,750,2225.382,1399.71,4388.927,4388.927,4392.41
APA,2023,1678,MALE,50448,CEO,,CEO & Director,56,0,0,0,0,611.299,0,1300,9384.742,3295.614,8526.547,8526.547,13763.441
APA,2023,1678,MALE,52415,,CFO,President & CFO,62,0,0,0,0,307.392,0,795,4414.677,1949.899,4351.641,4351.641,6677.769
APA,2023,1678,MALE,63508,,,Executive Vice President of Development,58,0,0,4.885,0,247.594,0,675,2998.669,1556.725,4522.341,4522.341,4808.213
APA,2023,1678,MALE,65539,,,Executive Vice President of Operations,58,0,0,0,0,246.851,0,675,2998.669,2361.227,3942.787,3942.787,4906.02
APA,2023,1678,FEMALE,71616,,,Executive VP of Exploration,,0,0,0,0,201.699,0,625,2429.421,1989.941,4211.403,4211.403,4168.62
APOG,2023,1686,MALE,45892,,,VP of Finance of Glass Segment & Chief Accounting Officer,58,0,0,0,0,21,0,323.106,305.252,412.817,909.301,909.301,935.191
APOG,2023,1686,MALE,62011,,,President of Architectural Glass Segment,49,0,297.488,0,0,46.924,0,449.231,520.823,848.928,1394.569,1692.057,1394.569
APOG,2023,1686,MALE,64111,,,Executive VP & Chief HR Officer,59,0,279.124,0,0,47.672,0,422.25,399.35,695.127,1514.067,1793.191,1514.067
APOG,2023,1686,MALE,65540,CEO,,"CEO, President & Director",56,0,0,0,0,181.931,0,909.231,1732.495,4065.949,5498.397,5498.397,5498.397
APOG,2023,1686,MALE,69945,,,President of Apogee Architectural Framing,52,0,0,0,0,40.042,0,453.789,552.518,840.308,1756.557,1756.557,1756.557
APOG,2023,1686,MALE,72241,,CFO,Executive VP & CFO,47,150,0,0,0,35.855,0,535.5,1308.763,1438.668,2675.317,2675.317,2675.317
AAPL,2023,1690,MALE,15741,CEO,,CEO & Director,62,0,0,0,0,2526.112,0,3000,46970.283,93202.615,63209.845,63209.845,63209.845
AAPL,2023,1690,MALE,46414,,,Chief Operating Officer,59,0,0,0,0,66.435,0,1000,22323.641,43632.869,26961.226,26961.226,26961.226
AAPL,2023,1690,MALE,49823,,CFO,CFO & Senior VP,60,0,0,0,0,41.092,0,1000,22323.641,43632.869,26935.883,26935.883,26935.883
AAPL,2023,1690,FEMALE,60877,,,"Senior VP, General Counsel & Secretary",59,0,0,0,0,46.914,0,1000,22323.641,43632.869,26941.705,26941.705,26941.705
AAPL,2023,1690,FEMALE,62858,,,Senior Vice President of Retail,56,0,0,0,0,42.219,0,1000,22323.641,43632.869,26937.01,26937.01,26937.01
AMAT,2023,1704,MALE,46415,CEO,,"President, CEO & Executive Director",66,0,0,0,0,241.976,0,1030,23951.048,10239.431,26854.544,26854.544,26854.544
AMAT,2023,1704,MALE,48106,,,"Senior VP, CTO & Chair of the Growth Technical Advisory Board",65,0,0,0,0,3.718,0,625.385,4037.503,3893.176,5408.809,5408.809,5408.809
AMAT,2023,1704,MALE,60879,,,President of Semiconductor Products Group,59,0,0,0,0,18.073,0,740,6636.826,6152.193,8486.374,8486.374,8486.374
AMAT,2023,1704,MALE,68676,,CFO,"Senior VP, CFO & leads Global Information Services",56,0,0,0,0,324.136,0,708.846,5530.849,9242.339,7583.136,7583.136,7583.135
AMAT,2023,1704,MALE,68677,,,Group Vice President of Applied Global Services,57,0,0,0,0,17.761,0,574.947,3097.266,5710.63,4423.564,4423.564,4423.564
EPAC,2023,1706,FEMALE,64670,,,Executive VP & Chief Strategy Officer,62,0,0,0,0,597.395,0,202.682,265.016,0,1065.093,1065.093,1065.093
EPAC,2023,1706,MALE,68680,,,Executive VP & Chief Human Resource Officer,45,0,0,0,0,60.689,0,358.635,275.005,978.701,1048.109,1048.109,1048.109
EPAC,2023,1706,MALE,68681,,,"Executive VP, CFO & Principal Accounting Officer",53,0,0,0,0,57.309,0,490.529,475.015,355.088,1672.924,1672.924,1672.924
EPAC,2023,1706,MALE,68682,CEO,,"CEO, President & Director",50,0,0,0,0,367.676,0,774.519,6999.985,7323.764,9608.505,9608.505,9608.505
EPAC,2023,1706,MALE,70975,,,"Executive VP, General Counsel, Company Secretary & Chief Compliance Counsel",48,0,0,0,0,55.141,0,315.769,175.012,190.815,814.05,814.05,814.05
EPAC,2023,1706,MALE,70976,,,Executive Vice President of Operations,52,162.66,0,0,0,0,0,406.65,346.935,327.186,1256.851,1256.851,1256.851
ADM,2023,1722,MALE,44352,CEO,,"Chairman, CEO & President",62,0,0,30904.076,0,1284.902,0,1482.918,17919.686,23539.387,6377.431,6377.431,24414.668
ADM,2023,1722,MALE,54038,,,Senior VP and President of Agricultural Services & Oilseeds,51,0,0,0,0,241.841,0,714,3239.765,4465.579,1819.246,1819.246,5273.437
ADM,2023,1722,MALE,61554,,,Senior VP & President of Carbohydrate Solutions,49,0,0,0,0,237.598,0,660.834,3138.499,4429.758,1700.165,1700.165,5009.923
ADM,2023,1722,MALE,63510,,,"Chief Sales & Marketing Officer, President of Nutrition and Senior VP",57,0,0,0,0,218.435,0,714,3239.765,4465.579,1617.34,1617.34,4908.839
ADM,2023,1722,MALE,69011,,CFO,CFO & Senior VP,56,0,0,1107.409,0,158.604,0,770.84,3492.888,2553.266,929.444,929.444,4516.241
ADM,2023,1722,FEMALE,71617,,,"Senior VP, General Counsel & Secretary",52,630,0,0,0,248.34,0,236.091,5620.122,3882.114,1406.668,1406.668,7033.837
ARCB,2023,1743,FEMALE,32141,CEO,,"Chairman, President & CEO",60,0,0,0,0,66.687,591.673,900,1227.732,1681.978,5077.912,5077.912,6315.108
ARCB,2023,1743,MALE,43260,,,Senior VP & Chief Innovation Officer,53,0,0,0,0,23.28,0,432.012,268.026,2616.611,1855.332,1855.332,1855.332
ARCB,2023,1743,MALE,51956,,,Senior Advisor,57,0,0,0,0,34.04,0,404.268,0,0,1848.434,1848.434,1848.434
ARCB,2023,1743,MALE,67012,,,Chief Strategy Officer,42,0,0,0,0,28.218,0,430.301,268.026,2640.653,1869.25,1869.25,1869.25
ARCB,2023,1743,MALE,69012,,,"President of ABF Freight Systems, Inc",38,0,0,0,0,28.06,0,475,319.902,2227.972,1707.857,1707.857,2027.759
ARCB,2023,1743,MALE,71260,,CFO,Chief Financial Officer,44,0,0,0,0,23.1,0,395.926,293.964,496.948,1087.115,1087.115,1087.115
ARW,2023,1773,MALE,25575,,,Executive Chairman,64,0,2815.641,0,0,155.808,0,511.539,3000.061,1721.525,1360.505,4176.146,5384.688
ARW,2023,1773,MALE,50451,CEO,,"President, CEO & Director",60,0,465.93,587.747,195.873,14.068,0,1000,4000.04,0,4374.226,4840.156,8891.814
ARW,2023,1773,FEMALE,54576,,,"Senior VP and Chief Governance, Sustainability & Human Resources Officer",53,0,0,1535.512,169.796,16.7,3979.867,675,1500.03,1235.581,2650.798,2650.798,3622.202
ARW,2023,1773,MALE,69015,,CFO,Senior VP & CFO,58,0,0,0,0,13.2,0,700,2200.053,4781.565,3389.323,3389.323,3759.692
